"S.No","NAME","NO. OF STOCKS","MARKET CAP","MOMENTUM SCORE","RSI > 50","MFI > 50","LTP > SMA20","LTP > SMA50","LTP > SMA200","SMA50 > SMA200","DAY GAINERS%","WEEK GAINERS%"
"1","Coal & Mining","17","5,11,783.33","44.31","23.5%","58.8%","23.5%","23.5%","35.3%","29.4%","52.9%","23.5%"
"2","IT Consulting & Software","163","27,39,269.01","46.05","42.9%","50.9%","40.5%","42.9%","35%","34.4%","49.7%","29.4%"
"3","Industrial Machinery","117","5,36,473.15","50.97","47.9%","57.3%","55.6%","44.4%","46.2%","47.9%","54.7%","50.4%"
"4","Internet Software & Services","36","3,32,386.27","56.99","41.7%","55.6%","38.9%","41.7%","33.3%","38.9%","61.1%","38.9%"
"5","Construction & Engineering","151","9,53,168.85","42.71","40.4%","43.7%","44.4%","37.7%","31.8%","33.8%","52.3%","47%"
"6","Pharmaceuticals","212","27,70,952.47","54.9","59%","62.3%","59.4%","58%","63.7%","60.8%","51.4%","49.1%"
"7","Specialty Chemicals","117","6,03,095.34","55.76","50.4%","53%","46.2%","55.6%","55.6%","52.1%","48.7%","47.9%"
"8","Textiles","263","2,33,088.57","57.08","47.1%","54%","50.6%","44.9%","46.4%","43%","57%","47.9%"
"9","Exploration & Production","9","4,02,140.24","43.78","77.8%","77.8%","55.6%","66.7%","66.7%","55.6%","66.7%","77.8%"
"10","Heavy Electrical Equipment","53","10,40,871.34","60.06","49.1%","56.6%","45.3%","49.1%","54.7%","58.5%","49.1%","39.6%"
"11","Cement & Cement Products","43","9,57,401.7","40.99","41.9%","53.5%","37.2%","41.9%","25.6%","30.2%","67.4%","41.9%"
"12","Commercial Vehicles","14","3,87,271.49","51.97","42.9%","64.3%","35.7%","50%","57.1%","57.1%","35.7%","28.6%"
"13","Commodity Trading  & Distribution","186","5,05,956.68","51.78","45.2%","46.2%","44.6%","39.2%","39.8%","39.2%","47.3%","51.1%"
"14","Marine Port & Services","11","5,33,865.89","55.58","63.6%","63.6%","45.5%","54.5%","45.5%","45.5%","45.5%","36.4%"
"15","Power - Electric Utilities","50","15,97,974.46","44.48","28%","52%","34%","20%","28%","28%","64%","36%"
"16","Packaged Foods","67","5,56,830.09","45.05","58.2%","67.2%","52.2%","50.7%","44.8%","35.8%","43.3%","38.8%"
"17","Other Industrial Goods","19","25,880.98","66","78.9%","63.2%","63.2%","73.7%","63.2%","73.7%","36.8%","57.9%"
