"S.No","Name","Day Change %","Sector","No. of Companies","Advances","Declines","Advances/ Declines Ratio","Industry Score","Week Change %","Month Change %","Qtr Change %","Half Yr Change %","1Yr Change %","3Yr Change %","5Yr Change %","10Yr Change %","PE TTM","PE to Growth TTM","Price to Book TTM","Revenue growth Qtr YoY%","Net Profit growth Qtr YoY%","Revenue growth Qtr QoQ%","Net Profit growth Qtr QoQ%","Return on Equity Annual","ROA Annual","Dividend yield"
"1","Wires & Cables","-5.9","Consumer Durables","21","7","14","0.5","51.59","-8.18","-2.09","-1.16","16.57","36.9","97.48","417.03","1,708.14","42.02","1.25","8.33","39.23","45.37","-4.92","2.1","19.19","11.38","0.41"
"2","Telecom Cables","4.8","Telecommunications Equipment","6","6","0","-","64.77","1.29","20.45","17.72","274.72","387.2","268.57","201.88","982.48","56.33","0.25","10.85","90.82","2,178.33","1.73","50.05","4.77","2.32","0.02"
"3","Oil Equipment & Services","4.43","Oil & Gas","8","4","4","1","64.19","11.44","32.78","54.73","90.16","40.6","1,066.91","1,807.47","2,890.78","32.22","0.64","4.17","68.42","60.48","-3.41","236.76","11.9","7.65","0.23"
"4","Petrochemicals","3.71","Chemicals & Petrochemicals","13","11","2","5.5","55.37","10.93","5.64","11.94","29.91","19.55","43.45","72.8","466","23.23","0.36","3.53","13.1","320.12","10.23","81.13","9.49","6.36","0.93"
"5","Education","3.39","Diversified Consumer Services","26","17","9","1.8889","47.38","0.41","-1.42","26.09","38.01","12.6","182.99","692.67","929.33","24.47","13.25","9.93","19.26","610.44","-3.37","-30.96","21.22","13.15","0.4"
"6","Telecom Equipment","2.74","Telecommunications Equipment","14","10","4","2.5","39.52","4.24","2.01","0.27","17.13","-4.23","87.96","190.26","608.63","86.91","4.83","10.29","33.8","68.12","11.03","-110.72","13.79","5.06","0.03"
"7","General Insurance","2.56","Banking and Finance","6","3","3","1","47.01","1.87","0.38","1.96","3.36","-3.68","30.04","34.84","22.17","38.93","1.86","3.06","9.79","-32.84","4.69","-37.52","12.31","3.08","1.31"
"8","Data Processing Services","2.36","Software & Services","7","5","2","2.5","46.42","2.3","-4.13","-1.51","11.12","-7.57","44.59","43.22","164.24","35.3","6.99","10.65","17.39","9.83","-0.15","-0.88","29.83","21.82","1.27"
"9","Movies & Entertainment","2.07","Media","46","29","17","1.7059","56.09","2.21","2.85","21.68","20.44","48.7","288.01","741.87","2,228.19","35.62","1.5","11.05","14.92","44.65","1.38","-79.38","21.56","12.47","0.33"
"10","Jute & Jute Products","2.04","Forest Materials","5","4","1","4","53.99","0.33","-6.67","-2.72","21.87","-12.01","59.79","58.74","68.81","13.56","0.31","1.07","46.13","56.26","7.21","77.08","5.97","3.8","2.03"
