"S.No","NAME","NO. OF STOCKS","MARKET CAP","MOMENTUM SCORE","RSI > 50","MFI > 50","LTP > SMA20","LTP > SMA50","LTP > SMA200","SMA50 > SMA200","DAY GAINERS%","WEEK GAINERS%"
"1","Coal & Mining","17","5,43,720.55","51.95","52.9%","35.3%","47.1%","52.9%","58.8%","47.1%","58.8%","82.4%"
"2","IT Consulting & Software","163","25,25,636.6","36.03","50.3%","57.7%","53.4%","46%","28.8%","23.3%","59.5%","62.6%"
"3","Industrial Machinery","111","5,67,994.31","64.81","55.9%","60.4%","63.1%","56.8%","46.8%","41.4%","64%","72.1%"
"4","Internet Software & Services","38","2,72,284.05","42.32","44.7%","68.4%","63.2%","47.4%","21.1%","18.4%","52.6%","63.2%"
"5","Construction & Engineering","151","10,21,590.9","60.1","56.3%","60.3%","60.9%","51%","31.8%","22.5%","52.3%","69.5%"
"6","Pharmaceuticals","211","25,72,848.4","56.94","62.6%","64%","64.5%","63%","51.7%","45.5%","58.3%","64.9%"
"7","Specialty Chemicals","116","5,78,178.12","53.96","62.9%","71.6%","65.5%","64.7%","45.7%","38.8%","61.2%","72.4%"
"8","Textiles","263","2,17,378.94","58.16","55.9%","52.9%","55.5%","52.1%","43.3%","31.9%","49.4%","59.7%"
"9","Exploration & Production","9","4,01,336.63","44.21","0%","22.2%","11.1%","33.3%","33.3%","66.7%","66.7%","11.1%"
"10","Heavy Electrical Equipment","52","11,02,296","65.51","78.8%","71.2%","73.1%","69.2%","53.8%","50%","57.7%","82.7%"
"11","Cement & Cement Products","43","9,63,767.98","46.31","44.2%","41.9%","53.5%","39.5%","20.9%","14%","60.5%","69.8%"
"12","Commercial Vehicles","14","3,59,956.74","43.47","64.3%","71.4%","71.4%","64.3%","35.7%","14.3%","85.7%","85.7%"
"13","Commodity Trading  & Distribution","205","4,99,083.75","59.02","48.8%","53.7%","51.7%","47.3%","43.9%","38.5%","47.3%","53.2%"
"14","Marine Port & Services","11","5,39,370.05","55.73","63.6%","72.7%","90.9%","72.7%","45.5%","27.3%","63.6%","90.9%"
"15","Power - Electric Utilities","49","17,71,239","57.24","42.9%","42.9%","51%","34.7%","42.9%","34.7%","63.3%","67.3%"
"16","Packaged Foods","63","5,30,571.67","46.9","54%","57.1%","55.6%","46%","28.6%","25.4%","55.6%","58.7%"
"17","Other Industrial Goods","20","22,393.16","55.28","60%","60%","65%","60%","65%","45%","50%","80%"
"18","Hotels","67","2,66,187.75","48.53","55.2%","44.8%","62.7%","56.7%","29.9%","20.9%","64.2%","70.1%"
"19","Oil Marketing & Distribution","16","3,15,966.4","52.63","68.8%","75%","62.5%","68.8%","37.5%","25%","62.5%","62.5%"
"20","Petrochemicals","12","26,981.24","60.55","66.7%","75%","91.7%","75%","50%","41.7%","75%","66.7%"
"21","Other Agricultural Products","60","63,085.01","47.03","40%","46.7%","51.7%","46.7%","25%","26.7%","51.7%","56.7%"
"22","Castings & Forgings","25","1,89,226.13","64.4","76%","72%","76%","76%","68%","60%","84%","80%"
"23","Jute & Jute Products","4","1,930.28","58.45","75%","100%","100%","75%","100%","75%","50%","100%"
"24","Realty","183","7,16,464.39","51.76","47%","50.3%","53%","46.4%","29.5%","26.2%","50.8%","60.7%"
"25","Telecom Cables","7","67,373.49","74.33","57.1%","71.4%","71.4%","71.4%","71.4%","71.4%","42.9%","71.4%"
"26","Paints","10","3,61,039.71","53.5","60%","60%","60%","60%","40%","20%","40%","60%"
"27","Auto Parts & Equipment","137","10,28,705.07","55.19","72.3%","67.9%","78.1%","67.9%","56.2%","41.6%","73%","75.9%"
"28","Warehousing & Logistics","58","1,25,328.57","45.41","53.4%","50%","65.5%","53.4%","29.3%","19%","56.9%","69%"
"29","BPO/KPO","16","40,129.96","37.96","37.5%","43.8%","31.2%","43.8%","31.2%","37.5%","50%","43.8%"
"30","Capital Markets","43","6,25,411.96","57.18","67.4%","65.1%","67.4%","55.8%","39.5%","27.9%","65.1%","72.1%"
"31","Biotechnology","10","90,103.53","56.04","70%","70%","70%","70%","60%","40%","60%","50%"
"32","Oil Equipment & Services","8","7,200.98","52.71","25%","62.5%","25%","50%","50%","50%","75%","62.5%"
"33","Containers & Packaging","75","61,959.3","60.41","61.3%","56%","57.3%","54.7%","45.3%","34.7%","52%","68%"
"34","Commodity Chemicals","65","1,60,716.81","52.42","49.2%","55.4%","53.8%","52.3%","46.2%","40%","60%","63.1%"
"35","Diversified","10","63,076.14","55.75","70%","50%","70%","80%","40%","30%","70%","90%"
"36","Iron & Steel/Interm.Products","87","10,54,649.81","53.23","50.6%","50.6%","56.3%","52.9%","49.4%","50.6%","51.7%","59.8%"
"37","Other Electrical Equipment/Products","73","4,97,101.49","54.31","60.3%","60.3%","64.4%","54.8%","50.7%","43.8%","54.8%","61.6%"
"38","Auto Tyres & Rubber Products","30","1,67,140.29","45.01","60%","46.7%","70%","63.3%","33.3%","23.3%","73.3%","83.3%"
"39","Iron & Steel Products","89","1,90,142.98","53.4","61.8%","65.2%","61.8%","59.6%","43.8%","39.3%","56.2%","57.3%"
"40","Healthcare Facilities","36","5,35,841.01","55.25","52.8%","55.6%","72.2%","69.4%","47.2%","36.1%","72.2%","69.4%"
"41","IT Training Services","7","5,160.57","57.69","57.1%","71.4%","57.1%","71.4%","71.4%","28.6%","57.1%","42.9%"
"42","Forest Products","15","30,034.78","48.86","46.7%","53.3%","46.7%","40%","40%","20%","40%","53.3%"
"43","Specialty Retail","35","49,691.46","44.86","54.3%","54.3%","48.6%","51.4%","28.6%","20%","54.3%","62.9%"
"44","Agrochemicals","35","1,80,048.32","37.69","40%","54.3%","45.7%","31.4%","17.1%","22.9%","54.3%","51.4%"
"45","Construction Materials","30","16,775.04","40.37","53.3%","60%","53.3%","40%","23.3%","20%","40%","63.3%"
"46","Dyes & Pigments","16","16,389.99","45.41","75%","68.8%","56.2%","56.2%","43.8%","31.2%","43.8%","68.8%"
"47","Roads & Highways","19","54,766.54","46.9","42.1%","52.6%","36.8%","47.4%","10.5%","15.8%","47.4%","42.1%"
"48","Ceramics","11","26,437.07","59.14","63.6%","72.7%","63.6%","54.5%","45.5%","45.5%","45.5%","72.7%"
"49","Plastic Products","90","1,54,399.56","50.11","53.3%","55.6%","66.7%","54.4%","27.8%","18.9%","51.1%","66.7%"
"50","Aerospace & Defence","29","9,67,376.28","55.11","96.6%","89.7%","96.6%","89.7%","72.4%","58.6%","69%","93.1%"
"51","Edible Oils","36","91,907.53","38.34","44.4%","38.9%","41.7%","41.7%","41.7%","36.1%","44.4%","47.2%"
"52","2/3 Wheelers","14","8,19,580.5","51.28","50%","64.3%","57.1%","42.9%","35.7%","28.6%","85.7%","64.3%"
"53","IT Software Products","46","73,359.56","51.81","52.2%","58.7%","52.2%","39.1%","23.9%","19.6%","56.5%","56.5%"
"54","Other Food & Beverages","68","2,26,554","55.75","51.5%","57.4%","52.9%","47.1%","41.2%","42.6%","44.1%","58.8%"
"55","Banks","32","54,62,589.13","53.14","100%","96.9%","100%","90.6%","68.8%","59.4%","56.2%","87.5%"
"56","Broadcasting & Cable TV","27","47,300.33","47.62","44.4%","48.1%","48.1%","44.4%","18.5%","11.1%","51.9%","70.4%"
"57","Personal Products","27","9,84,518.69","41.72","40.7%","40.7%","44.4%","29.6%","25.9%","33.3%","40.7%","51.9%"
"58","Household Appliances","17","65,238.38","49.21","64.7%","58.8%","82.4%","70.6%","23.5%","17.6%","70.6%","88.2%"
"59","Holding Companies","15","6,20,564.65","47.34","93.3%","80%","100%","73.3%","33.3%","20%","80%","93.3%"
"60","Sugar","40","58,274.92","51.81","45%","60%","47.5%","37.5%","32.5%","40%","60%","70%"
"61","Finance (including NBFCs)","289","20,13,068.83","50.3","54%","53.6%","52.6%","46%","34.6%","27.7%","50.9%","63.3%"
"62","Other Apparels & Accessories","68","2,08,480.95","49.5","60.3%","63.2%","67.6%","57.4%","29.4%","26.5%","48.5%","67.6%"
"63","Misc. Commercial Services","79","78,921.04","47.45","51.9%","58.2%","53.2%","46.8%","31.6%","22.8%","54.4%","60.8%"
"64","Footwear","19","64,303.92","43.94","73.7%","68.4%","63.2%","63.2%","31.6%","26.3%","63.2%","78.9%"
"65","Copper","9","52,279.26","48.86","33.3%","44.4%","44.4%","11.1%","55.6%","77.8%","44.4%","77.8%"
"66","Telecom Services","8","13,49,925.52","50.09","87.5%","100%","75%","75%","25%","12.5%","75%","50%"
"67","Advertising & Media","27","7,157.66","43.37","22.2%","48.1%","29.6%","18.5%","18.5%","22.2%","48.1%","51.9%"
"68","Other Financial Services","144","2,12,383.16","49.85","54.2%","56.2%","56.9%","53.5%","36.1%","30.6%","51.4%","56.9%"
"69","Consumer Electronics","25","3,51,437.38","47.84","68%","64%","80%","60%","36%","28%","72%","88%"
"70","Refineries/Petro-Products","10","20,77,738.63","42.34","70%","80%","80%","80%","50%","50%","70%","80%"
"71","Housing Finance","20","2,34,846.66","52.52","70%","75%","70%","60%","55%","30%","50%","60%"
"72","Abrasives & Bearings","9","1,65,905.57","62.46","100%","88.9%","100%","77.8%","77.8%","55.6%","44.4%","100%"
"73","Education","28","53,181.91","44.36","60.7%","64.3%","53.6%","57.1%","42.9%","32.1%","60.7%","57.1%"
"74","Tea & Coffee","25","1,31,446.7","46.69","48%","60%","52%","56%","44%","44%","76%","68%"
"75","Aluminium and Aluminium Products","27","6,18,503.34","31.31","40.7%","48.1%","44.4%","37%","40.7%","44.4%","74.1%","59.3%"
"76","Electronic Components","29","41,136.3","61.34","62.1%","58.6%","72.4%","58.6%","51.7%","48.3%","62.1%","75.9%"
"77","Paper & Paper Products","48","38,631.36","42.75","35.4%","41.7%","45.8%","29.2%","27.1%","29.2%","54.2%","66.7%"
"78","Computer Hardware","19","10,534.03","60.39","52.6%","47.4%","52.6%","52.6%","31.6%","26.3%","63.2%","68.4%"
"79","Fertilizers","30","1,94,996.72","53.01","50%","63.3%","60%","63.3%","40%","30%","73.3%","66.7%"
"80","Movies & Entertainment","48","51,574.64","47.22","37.5%","52.1%","43.8%","31.2%","22.9%","27.1%","52.1%","50%"
"81","Wires & Cables","20","2,69,221.7","68.6","75%","65%","75%","75%","60%","45%","70%","80%"
"82","Publishing","18","14,960.23","40.31","55.6%","55.6%","55.6%","55.6%","22.2%","16.7%","66.7%","72.2%"
"83","Other Industrial Products","68","2,62,400.28","61.66","51.5%","52.9%","52.9%","48.5%","36.8%","32.4%","52.9%","64.7%"
"84","Other Leisure Facilities","4","7,960.13","40.62","50%","25%","75%","50%","0%","0%","100%","100%"
"85","Electrodes & Refractories","11","50,167.92","49.1","63.6%","81.8%","81.8%","54.5%","54.5%","63.6%","54.5%","90.9%"
"86","IT Networking Equipment","6","47,327.64","69.35","83.3%","83.3%","66.7%","83.3%","100%","83.3%","33.3%","66.7%"
"87","Shipping","14","63,670.18","60.83","64.3%","78.6%","78.6%","50%","71.4%","64.3%","50%","78.6%"
"88","Compressors & Pumps","11","97,866.93","59.95","90.9%","81.8%","90.9%","90.9%","54.5%","45.5%","90.9%","90.9%"
"89","Consulting Services","41","35,399.15","44.03","39%","41.5%","31.7%","39%","26.8%","29.3%","46.3%","48.8%"
"90","Household Products","10","8,210.41","60.87","50%","40%","70%","80%","40%","30%","50%","80%"
"91","Department Stores","15","5,39,039.52","53.34","53.3%","66.7%","53.3%","53.3%","53.3%","40%","60%","73.3%"
"92","Utilities:Non-Electrical","20","2,94,980.93","55.71","85%","80%","70%","70%","55%","30%","65%","75%"
"93","Healthcare Services","41","1,43,245.68","55.93","61%","56.1%","56.1%","61%","43.9%","39%","51.2%","65.9%"
"94","Airlines","5","1,97,895.58","50.71","60%","60%","80%","60%","40%","20%","20%","100%"
"95","Breweries & Distilleries","19","2,23,842.37","50.8","47.4%","68.4%","63.2%","26.3%","10.5%","10.5%","47.4%","68.4%"
"96","Cigarettes-Tobacco Products","5","4,05,315.8","35.73","60%","60%","80%","40%","40%","40%","40%","60%"
"97","Gems & Jewellery","70","5,12,466.2","60.36","50%","57.1%","47.1%","40%","32.9%","31.4%","54.3%","62.9%"
"98","Other Non-Ferrous Metals","10","2,73,224.57","47.09","50%","60%","60%","60%","60%","30%","90%","80%"
"99","Green & Renewable Energy","21","6,60,627.33","56.04","28.6%","42.9%","52.4%","28.6%","23.8%","28.6%","85.7%","71.4%"
"100","Other Telecom Services","11","2,45,647.69","42.19","90.9%","72.7%","90.9%","72.7%","54.5%","36.4%","63.6%","81.8%"
"101","Telecom Equipment","14","56,542.84","57.37","64.3%","71.4%","64.3%","71.4%","50%","42.9%","50%","64.3%"
"102","Financial Institutions","9","4,81,211.86","49.7","77.8%","88.9%","77.8%","77.8%","55.6%","33.3%","66.7%","66.7%"
"103","Cars & Utility Vehicles","7","11,23,039.32","44.86","57.1%","42.9%","57.1%","42.9%","0%","14.3%","57.1%","71.4%"
"104","Internet & Catalogue Retail","14","5,92,892.37","46.38","50%","50%","57.1%","42.9%","35.7%","21.4%","57.1%","78.6%"
"105","Asset Management Cos.","8","4,12,097.09","50.12","100%","100%","87.5%","75%","50%","25%","12.5%","100%"
"106","Photographic Products","4","1,616.85","47.37","50%","75%","50%","50%","50%","50%","25%","50%"
"107","Restaurants","13","84,669.3","45.46","69.2%","69.2%","69.2%","61.5%","30.8%","7.7%","76.9%","76.9%"
"108","Transport Related Services","13","29,021.31","57.89","84.6%","76.9%","92.3%","92.3%","53.8%","38.5%","53.8%","84.6%"
"109","Investment Companies","27","31,971.33","44.92","63%","40.7%","55.6%","51.9%","37%","22.2%","44.4%","55.6%"
"110","Commodity Printing/Stationery","10","18,990.58","49.07","40%","40%","40%","40%","30%","30%","70%","50%"
"111","Houseware","9","27,831.19","45.52","77.8%","66.7%","66.7%","44.4%","22.2%","11.1%","44.4%","66.7%"
"112","Industrial Gases","7","72,087.32","56.3","57.1%","71.4%","71.4%","57.1%","42.9%","28.6%","71.4%","71.4%"
"113","Life Insurance","6","10,15,775.2","47.06","66.7%","66.7%","100%","66.7%","33.3%","0%","100%","100%"
"114","Surface Transportation","13","8,078.64","46.26","69.2%","53.8%","53.8%","46.2%","30.8%","15.4%","38.5%","76.9%"
"115","Healthcare Supplies","12","30,660.29","45.74","41.7%","50%","16.7%","25%","16.7%","8.3%","66.7%","50%"
