"Sl No","Stock","Market Cap","Promoter pledge change QoQ %","ROCE Ann  %","Rev  Ann  3Y Growth %","Net Profit Ann  YoY Growth %","Net Profit Qtr Growth YoY %","Net Profit 3Y Growth %","NSE code","NSE Code","BSE Code","ISIN"
"1","Refex Industries","4607.14","12.45","22.68","40.59","28.07","87.97","75.21","REFEX","REFEX","532884","INE056I01025"
"2","Vaibhav Global","4203.39","0","15.33","37.32","73.53","167.4","153.55","VAIBHAVGBL","VAIBHAVGBL","532156","INE884A01027"
"3","Websol Energy ","4149.73","1.27","48.43","5135.48","95.82","157.94","1379.28","WEBELSOLAR","WEBELSOLAR","517498","INE855C01023"
"4","SG Finserve","4038.71","0","20.87","695.15","57.62","118.95","593.55","SGFIN","SGFIN","539199","INE618R01015"
"5","Ram Ratna Wires","3913.19","0","27.02","95.56","52.6","146.46","138.46","RAMRAT","RAMRAT","522281","INE207E01023"
"6","Pondy Oxides & Chem","3910.86","0","24.21","100.21","127.15","125.97","74.39","POCL","POCL","532626","INE063E01053"
"7","Kernex Microsystems","3684.86","0.03","54.43","8868.82","75.84","109.46","545.8","KERNEX","KERNEX","532686","INE202H01019"
"8","Seamec","3627.89","0","18.68","118.71","180.52","140.76","661.66","SEAMECLTD","SEAMECLTD","526807","INE497B01018"
"9","Premier Explosives","3591.25","0","21.16","110.82","59.65","76.08","563.26","PREMEXPLN","PREMEXPLN","526247","INE863B01029"
"10","Kesar","3457.49","0","16.62","1062.96","54.97","1991.07","3729.93","11625592","","543542","INE0L1C01019"
"11","Rane Madras","3423.96","0","22.53","63.5","185.47","466.87","258.03","RML","RML","532661","INE050H01012"
"12","Carraro","3173.45","0","27.08","31.77","48.16","75.73","169.51","CARRARO","CARRARO","544320","INE0V7W01012"
"13","Spectrum Electrical","3162.25","0","16.26","105.7","73.45","95.51","425.63","SPECTRUM","SPECTRUM","544386","INE01EO01010"
"14","Ramco Systems","3069.3","0","16.71","42.29","222.17","371.78","120.23","RAMCOSYS","RAMCOSYS","532370","INE246B01019"
"15","Antelopus Selan Energy","3025.9","0","15.86","122.19","21.12","139.05","190.49","ANTELOPUS","ANTELOPUS","530075","INE818A01017"
"16","Satin Creditcare","2923.73","0","58.74","102.75","78.47","640.05","6801.73","SATIN","SATIN","539404","INE836B01017"
"17","EFC I","2922.09","0","17.81","912.69","105.23","125.23","5894.86","EFCIL","EFCIL","512008","INE886D01026"
"18","Monarch Networth Cap","2857.87","-0.01","25.64","130.4","21.39","84.33","321.66","MONARCH","MONARCH","511551","INE903D01011"
"19","Indo Thai Securities","2834.12","0","29.1","1167.22","702.39","1116.09","1025.66","INDOTHAI","INDOTHAI","533676","INE337M01021"
"20","Kwality Pharma","2737.55","0","27.62","99.21","69.04","74.62","247.67","KPL","","539997","INE552U01010"
"21","D P Abhushan","2675.54","0","45.85","106.06","87.98","101.17","367.46","DPABHUSHAN","DPABHUSHAN","544161","INE266Y01019"
"22","Venus Remedies","2533.85","0","19.39","38.24","126.81","126.14","286.89","VENUSREM","VENUSREM","526953","INE411B01019"
"23","Modern Insulators","2485.19","0","16.97","66.28","106.79","174.36","185.47","MODINSULAT","","515008","INE219W01012"
"24","Shringar House of Mangalsutra","2196.63","0","23.25","136.56","88.98","123.47","394.44","SHRINGARMS","SHRINGARMS","544512","INE1B3L01017"
"25","K P Energy","2190.9","0","32.83","240.32","57.3","71.83","313.14","KPEL","KPEL","539686","INE127T01021"
"26","KMC Speciality Hospitals","2139.68","0","24.64","95.64","118.11","223.54","75.11","KMCSHIL","","524520","INE879K01018"
"27","SBC Exports","2013.81","3.2","37.46","110.76","89.07","104.87","266.63","SBC","SBC","542725","INE04AK01028"
"28","NGL Fine - Chem","1934.21","0","17.15","81.83","127.83","2380.79","134.81","NGLFINE","NGLFINE","524774","INE887E01022"
"29","Krishna Defence & Allied","1911.51","0","26.28","283.94","86.44","72.74","680.14","KRISHNADEF","KRISHNADEF","","INE0J5601015"
"30","Solarworld Energy Solutions","1810.33","0","19.98","502.45","56.36","419.76","712.04","SOLARWORLD","SOLARWORLD","544532","INE0TY101024"
"31","Tribhovandas Bhimji Zaveri","1734.8","0","35.58","33.84","195.82","612.6","403.37","TBZ","TBZ","534369","INE760L01018"
"32","Signpost","1721.36","0","29.11","69.86","107.25","2129","98.89","SIGNPOST","SIGNPOST","544117","INE0KGZ01021"
"33","InfoBeans Tech","1586.35","0","24.98","35.12","128.23","104.19","140.99","INFOBEAN","INFOBEAN","543644","INE344S01016"
"34","Khazanchi Jewellers","1559.8","0","39.45","325.69","99.05","103.95","1082.01","15070580","","543953","INE0OWC01011"
"35","OBSC Perfection","1550.53","0","17.82","130.64","61.18","70.05","490.63","OBSCP","OBSCP","","INE0YHV01011"
"36","Shanti Gold International","1542.64","-0.01","32.64","197.31","150.98","171.32","607.17","SHANTIGOLD","SHANTIGOLD","544459","INE06ZD01017"
"37","Media Matrix ","1502.02","0","24.97","33.01","67.43","813.89","330.85","MMWL","","512267","INE200D01020"
"38","Valiant Comms","1205.02","0","32.8","184.08","151.56","92.71","1338.43","VALIANT","","526775","INE760B01019"
"39","Bhagyanagar","1170.22","0.03","33.78","28.96","257.91","303.79","395.26","BHAGYANGR","BHAGYANGR","512296","INE458B01036"
"40","Gulshan Polyols","1161.9","0","21.29","95.01","332.27","434.75","136.2","GULPOLY","GULPOLY","532457","INE255D01024"
"41","SRM Contractors","1116.46","0","29.63","244.03","101.85","124.68","492.25","SRM","SRM","544158","INE0R6Z01013"
"42","Mangalam Worldwide","1090.01","7.59","21.44","88.1","69.95","81.29","207.63","MWL","MWL","544764","INE0JYY01029"
"43","Sunshield Chemicals","1041.39","0","16.83","80.06","102.96","85.71","116.67","SUNSHIEL","","530845","INE199E01014"
"44","Tembo Global ","1036.39","17.35","20.39","341.48","79.21","83.61","1477.06","TEMBO","TEMBO","","INE869Y01010"
"45","Kalind","1026.44","0","16.48","2138.66","17971.68","6801.52","15706.05","MBPARIKH","","526935","INE377D01018"
"46","Modison","936.67","0","40.27","112.97","193.88","277.66","548.97","MODISONLTD","MODISONLTD","506261","INE737D01021"
"47","Indo Amines","905.53","0","26.48","25.18","43.58","73.04","96.2","INDOAMIN","INDOAMIN","524648","INE760F01028"
"48","Homes","895.28","0","22.38","318.91","239.29","792.11","151.88","ISIBARS","","513361","INE072A01029"
"49","Z-Tech","833.38","0","18.53","523.63","82.91","125.18","1668.77","ZTECH","ZTECH","","INE0ISZ01012"
"50","Sejal Glass","812.42","-0.01","15.39","761.22","162.24","199.34","266.1","SEJALLTD","SEJALLTD","532993","INE955I01044"
"51","Investment & Precision","801.4","0","18.21","11.2","94.17","98.91","111.67","INVPRECQ","","504786","INE155E01016"
"52","Vikram Thermo","768.42","0","32.5","20.22","375.38","109.05","127.63","VIKRAMTH","","530477","INE337E01010"
"53","Karnika Industries","767.22","0","43.67","84.81","47.96","139.04","226.04","KARNIKA","KARNIKA","","INE0MGA01012"
"54","SMT Engineering","733.32","0","24.75","29847.88","835.8","364.25","8480","ADARSH","","538563","INE673E01018"
"55","Jojo","727.54","0","15.51","16334.23","438.4","8138.32","50041.07","TOHELPH","","531910","INE312M01016"
"56","Panache Digilife","717.35","0","25.41","117.75","134.96","322.46","1863.92","PANACHE","PANACHE","","INE895W01019"
"57","Axtel Industries","711.62","0","31.97","24.96","72.87","134.53","80.08","AXTEL","","523850","INE767C01012"
"58","Oriental Rail ","710.79","0","18.18","77.2","44.58","120.99","1225.3","ORVENPR","","531859","INE457G01029"
"59","Advance Agrolife","708.11","0","17.23","61.26","37.62","422.11","137.32","ADVANCE","ADVANCE","544562","INE1B0W01010"
"60","Modis Navnirman","680.7","0","23.6","11190.35","256.16","1972.21","31763.79","MODIS","MODIS","543539","INE0L0L01012"
"61","Asian Hotels West","662.43","0","35.7","24.53","63.27","1243.93","100.31","AHLWEST","AHLWEST","533221","INE915K01010"
"62","Shraddha Prime Proj","595.11","0","20.32","5942.16","118.57","246","10853.27","TOWASOK","","531771","INE311M01018"
"63","Triton Valves","563.74","0","19.84","59.47","89.78","637.22","212.18","TRITONV","","505978","INE440G01017"
"64","Modi Naturals","548.42","0","21.92","71.59","62.07","141.07","4605.99","MODINATUR","MODINATUR","519003","INE537F01012"
"65","Mangalam Global ","544.1","0","28.36","137.74","95.76","140.65","256.18","MGEL","MGEL","544273","INE0APB01032"
"66","Pasupati Acrylon","538.45","0","19.46","21.81","97.62","133.19","94.71","PASUPTAC","PASUPTAC","500456","INE818B01023"
"67","Omax Autos","532.52","0","16.84","64.76","71.91","3428.77","252.19","OMAXAUTO","OMAXAUTO","520021","INE090B01011"
"68","Unifinz Capital","508.86","0","90.27","5489.85","334.5","160.54","15932.56","541358","","541358","INE926R01012"
"69","Tera Software","498.16","-1.77","25.6","55.15","163.42","144.74","615.58","TERASOFT","TERASOFT","533982","INE482B01010"
"70","Uday Jewellery","495.64","0","26.65","311.5","229.16","937.74","276.43","UDAYJEW","","539518","INE551B01012"
"71","Manaksia Steels","491.64","0","20.75","51.46","309.43","310.48","227.59","MANAKSTEEL","MANAKSTEEL","539044","INE824Q01011"
"72","Nila Spaces","490.39","0","26.76","5676.2","95.97","99.29","807.92","NILASPACES","NILASPACES","542231","INE00S901012"
"73","Kanpur Plastipack","479.94","0","19.55","52.02","255.65","399.98","986.82","KANPRPLA","KANPRPLA","507779","INE694E01014"
"74","Blue Water Logistics","433.46","0","36.07","293.94","136.23","111.8","1536.19","BLUEWATER","BLUEWATER","","INE0X3M01010"
"75","Suratwwala Business Group","431.29","0","27.81","129.94","244.61","103.25","79.09","SBGLP","SBGLP","543218","INE05ST01028"
"76","Autoline Industries","416.47","0","18.37","27.25","113.28","366.41","265.45","AUTOIND","AUTOIND","532797","INE718H01014"
"77","Univastu","389.95","0","30.45","180.53","122.66","264.92","251.57","UNIVASTU","UNIVASTU","","INE562X01013"
"78","Simplex Castings","388.85","0","26.87","74.16","40.5","72.42","225.14","SIMPLEXCAS","","513472","INE658D01011"
"79","AVG Logistics","388.04","-0.02","16.13","35.49","22.72","104.93","213.68","AVG","AVG","543910","INE680Z01018"
"80","GSM Foils","365.85","0","39.85","292.38","105.55","83.64","1287.49","GSMFOILS","GSMFOILS","","INE0SQY01018"
"81","Virtual Galaxy Infotech","364.57","0","26.2","213.08","43.51","195.57","2467.43","VGINFOTECH","VGINFOTECH","","INE0VRH01015"
"82","Alufluoride","349.3","0","22.07","52.92","38.95","210.3","96.08","ALUFLUOR","","524634","INE058F01019"
"83","Sugs Lloyd","339.27","0","31.99","735.39","71.79","116","1155.9","16691930","","544501","INE0XX801016"
"84","Coastal Corporation","338.9","0","16.58","173.23","494.79","1059.29","297.93","COASTCORP","COASTCORP","501831","INE377E01024"
"85","Spice Islands","325.78","0","40.62","1861.95","1086.36","97.65","4730.01","SPICEISL","","526827","INE882D01017"
"86","Stellant Securities","324.3","0","36.88","32447.79","1550.31","906.32","68191.99","STELLANT","","526071","INE395F01023"
