Sl No,Stock,Market Cap,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Total Rev  Ann  1Y Ago,Rev  Ann  2Y ago,Rev  Ann  3Y ago,Rev  Ann  4Y ago,Rev  Ann  5Y ago,ROCE Ann  1Y Ago %,OPM Ann  1Y ago %,Net Profit Ann ,Total Rev  Ann ,NSE Code,BSE Code,ISIN
1,Shipping Corporation,13375.42,843.58,678.97,870.16,865.22,696.09,5800.36,5262.06,5907.21,5098.98,3828.85,10,30.42,1352.92,6226.78,SCI,523598,INE109A01011
2,V-Guard Industries,13270.57,313.72,257.58,189.11,227.69,200.82,5598.71,4890.7,4142.48,3510.95,2741.97,18.93,9.17,308.33,5989.29,VGUARD,532953,INE951I01027
3,Va Tech Wabag,13138.26,295.3,245.6,12.85,131.91,110.11,3338.6,2899.8,3014.08,3011.69,2842.7,16.78,12.65,370.5,4038.5,WABAG,533269,INE956G01038
4,Vedanta Iron and Steel,13068.52,-0.03,-0.02,,,,0,0,,,,62.4,,-0.04,0,VISL,544784,INE1CLE01013
5,Home First Finance ,13003.98,382.07,305.72,228.29,186.1,100.14,1539.2,1156.54,795.6,595.7,489.16,47.57,79.47,540.38,1922.72,HOMEFIRST,543259,INE481N01025
6,Engineers India,12966.32,579.77,445.26,346.27,139.52,248.91,3247.84,3500.02,3494.5,3042.72,3332.95,23.44,15.77,691.59,4123.24,ENGINERSIN,532178,INE510A01028
7,Trident,12928.44,369.88,349.52,440.74,833.75,304.39,7047.23,6866.59,6356.62,7020.23,4546.7,10.23,12.92,377.11,6775.16,TRIDENT,521064,INE064C01022
8,Tamilnad Mercantile Bank,12902.48,1182.61,1072.03,1029.26,821.91,603.33,6141.75,5492.86,4710.15,4656.43,4253.4,7.49,28.42,1337.55,6696.49,TMB,543596,INE668A01016
9,Lloyds Engineering,12887.85,103.14,,,,,869.9,,,,,21.13,15.54,189.88,1350.98,LLOYDSENGG,539992,INE093R01011
10,Ujjivan Small Finance,12805.5,726.1,1281.49,1099.92,-414.59,8.3,7200.59,6463.91,4754.19,3126.07,3116.89,9.47,23.46,692.63,8038.97,UJJIVANSFB,542904,INE551W01018
11,NMDC Steel,12730.55,-2373.78,-1560.32,0,0,-0.01,8574.56,3168.28,0,0,0,-14.37,-20.86,58.72,13727.81,NSLNISP,543768,INE0NNS01018
12,Shilpa Medicare,12650.23,78.29,31.87,-32.48,60.66,147.78,1309.57,1159.77,1067.51,1159.77,931.27,8.61,24.21,243.33,1548.71,SHILPAMED,530549,INE790G01031
13,Corona Remedies,12611.21,149.43,90.5,84.93,,,1202.35,1020.93,891.1,,,30.24,19.96,185.12,1413.83,CORONA,544644,INE02ZQ01018
14,Park Medi World,12601.58,205.16,153.49,219.67,,,1425.97,1263.08,1272.18,,,21.95,26.1,258.12,1710.96,PARKHOSPS,544645,INE119201023
15,Balrampur Chini ,12505.96,436.92,534.47,284.17,464.64,479.79,5504.2,5773.67,4728.65,4879.04,4838.58,13.57,12.79,378.46,6307.96,BALRAMCHIN,500038,INE119A01028
16,PCBL,12482.6,434.6,490.94,441.8,426.02,313.63,8451.64,6456.8,5814.67,4475.01,2677.52,13.27,15.82,197.87,8227.89,PCBL,506590,INE602A01031
17,Marksans Pharma,12482.39,380.58,313.7,266.31,186.81,238.54,2693.22,2227.83,1911.45,1532.69,1382.88,18.66,19.63,417.9,3033.47,MARKSANS,524404,INE750C01026
18,Shaily Engineering ,12471.1,93.12,57.29,35.15,35.27,,789.12,650.36,611.57,576.53,,22.13,22.31,169.91,998.45,SHAILY,501423,INE151G01028
19,UTI Asset Management ,12417.73,731.49,765.68,437.36,534.29,494.14,1859.94,1743.93,1290.09,1327.27,1172.82,19.99,59.23,404.12,1714.05,UTIAMC,543238,INE094J01016
20,JSW Holdings,12409.35,195.83,155.56,331.5,151.62,75.22,248.09,169.56,406.76,186.14,92.81,0.66,94.34,146.65,179.45,JSWHL,532642,INE824G01012
21,Ircon International,12315.11,727.41,929.57,765.23,592.34,391.06,11131.03,12870.52,10749.89,7585.71,5523.45,8.93,7.59,595.47,9501.97,IRCON,541956,INE962Y01021
22,Indegene,12306.45,406.7,336.7,266.1,164.76,149.4,2946.5,2665.9,2364.1,1690.5,996.92,20.32,18.13,401.1,3582.5,INDGN,544172,INE065X01017
23,Graphite,12253.96,462.11,808.1,199.35,504.56,-32.08,2998.47,3254.06,3313.87,3320.34,2273.56,9.9,8.45,175.33,3025.62,GRAPHITE,509488,INE371A01025
24,Tega Industries,12245.82,200.12,193.86,184.03,116.9,136.4,1681.8,1514.92,1234.66,975.95,856.68,18.14,20.21,142.65,1773.55,TEGA,543413,INE011K01018
25,Techno Electric,12220.76,422.95,268.46,186.86,263.89,181.78,2428.62,1638.49,904.14,1224.64,956.08,11.95,13.97,473.87,3401.17,TECHNOE,542141,INE285K01026
