S.No,NAME,NO. OF STOCKS,MARKET CAP,MOMENTUM SCORE,RSI > 50,MFI > 50,LTP > SMA20,LTP > SMA50,LTP > SMA200,SMA50 > SMA200,DAY GAINERS%,WEEK GAINERS%
1,Metals & Mining,221,"27,30,770.24",47.47,30.10%,26.50%,32%,27.90%,80.50%,81.30%,78.10%,61.40%
2,Software & Services,265,"29,62,359.39",37.24,18.10%,15.50%,20.50%,22.10%,11.60%,8.30%,94.30%,53.90%
3,General Industrials,417,"36,25,303.66",60.91,95.30%,88.80%,95.90%,94.10%,87.10%,75.70%,55.30%,95.70%
4,Cement and Construction,224,"20,50,765.17",53.13,83.10%,64.80%,88.80%,66.10%,55.20%,51.80%,33.90%,97.20%
5,Pharmaceuticals & Biotechnology,213,"26,41,403.66",56.9,80.50%,77.10%,74.50%,85.60%,79%,77.80%,52.10%,68.60%
6,Chemicals & Petrochemicals,236,"9,61,082.79",50.67,67.60%,77.60%,65.90%,65.90%,56.50%,40.80%,52.20%,67.70%
7,Textiles Apparels & Accessories,366,"9,38,410.66",57.47,93.80%,94.60%,93.60%,88.90%,73.30%,68.60%,35.80%,95.40%
8,Oil & Gas,42,"28,18,141.05",43.78,19.80%,17.10%,84.10%,20.70%,4.40%,17.30%,95.70%,95.10%
9,Automobiles & Auto Components,198,"35,03,999.11",49.27,68.20%,64.90%,83.40%,73%,39.30%,34.40%,92%,91.50%
10,Commercial Services & Supplies,479,"7,81,616.61",56.17,85.80%,86.30%,87%,87.10%,79.30%,74.50%,82.80%,85.50%
11,Transportation,109,"9,60,745.95",53.67,91.50%,93.90%,97%,86.90%,84.80%,54.30%,45.90%,98.90%
12,Utilities,102,"28,20,790.2",56.66,67.20%,52.70%,81.60%,60.80%,85.90%,83.20%,61.60%,88.40%
13,FMCG,118,"16,12,531.77",43.22,68%,63.60%,71.30%,32.80%,29.80%,29.20%,83.70%,72%
14,Hotels Restaurants & Tourism,77,"3,49,685.54",47.79,90%,88.50%,98.30%,90.10%,47.20%,8.40%,97.80%,98.90%
15,"Food, Beverages & Tobacco",203,"11,09,822.05",45.68,76.80%,81.40%,67.20%,44.80%,30.90%,42.40%,33.80%,68.80%
16,Forest Materials,19,"32,213.01",49.48,87.70%,97%,89%,35.10%,36.70%,24.40%,78.70%,90.40%
17,Realty,179,"9,69,887.79",47.18,76%,72.60%,84.30%,76%,28.60%,24.40%,74.70%,87.70%
18,Telecommunications Equipment,20,"1,27,171.22",66.73,95.60%,98.70%,94.60%,99.60%,91.80%,68%,95.40%,94.70%
19,Consumer Durables,165,"16,11,031.97",54.86,89.70%,87.50%,97.20%,81.40%,60.80%,55.20%,34.60%,79.30%
20,Banking and Finance,536,"1,08,57,785.88",52.02,93.90%,92.20%,95.40%,88.60%,61.10%,32.90%,75.80%,91.70%
21,Diversified,25,"6,78,291.55",48.1,95.50%,50.20%,99.40%,51.30%,22%,21.20%,57.80%,99.90%
22,Healthcare,84,"7,05,820.82",55,88.70%,86.30%,88%,96.30%,86.80%,64.30%,44.80%,54%
23,Retailing,72,"12,50,155.37",49.2,73.40%,87.10%,84.30%,78.50%,47.70%,31.90%,73.40%,97.70%
24,Media,94,"1,05,360.56",47.21,41.10%,53.90%,54.50%,42.50%,35.80%,29.50%,75.60%,74.70%
25,Telecom Services,18,"15,97,837.88",48.89,93.20%,88.50%,93.20%,88.50%,20.70%,20.70%,89.80%,92.60%
26,Diversified Consumer Services,88,"2,23,780.98",43.92,73.90%,89%,94.70%,66.60%,21.80%,5.70%,82.40%,90.40%
27,Hardware Technology & Equipment,25,"57,550.23",67.49,96.30%,96.80%,96%,94.70%,94.30%,90.20%,20%,96.60%
28,Fertilizers,30,"1,95,802.85",53.01,64.80%,99.30%,99.30%,94.50%,53.20%,39.30%,64.50%,96.80%
29,Others,24,"31,717.80",44.86,71.30%,61.50%,99.70%,65.10%,16.50%,7.60%,96.80%,98.80%
