S.No,NAME,NO. OF STOCKS,MARKET CAP,MOMENTUM SCORE,RSI > 50,MFI > 50,LTP > SMA20,LTP > SMA50,LTP > SMA200,SMA50 > SMA200,DAY GAINERS%,WEEK GAINERS%
1,Coal & Mining,15,"5,44,793.09",51.93,27.10%,7.40%,28.20%,27.20%,92.20%,91%,42.20%,83.70%
2,IT Consulting & Software,156,"25,41,596.98",36.03,11.70%,9.30%,10.30%,14.40%,6.80%,6.20%,96.70%,49%
3,Industrial Machinery,104,"5,65,557.64",64.84,94.40%,95.80%,94.30%,94.10%,86.90%,78.90%,37.70%,95.10%
4,Internet Software & Services,38,"2,73,666.56",42.33,52.50%,42.10%,92.20%,64.60%,36.70%,7.90%,97.50%,98.10%
5,Construction & Engineering,141,"10,20,634.07",60.08,90.20%,93.30%,96.70%,89.50%,84.40%,79.80%,79.30%,96.80%
6,Pharmaceuticals,205,"25,57,290.59",56.93,79.80%,76.30%,76.50%,84.20%,78.30%,77.60%,62.30%,73.40%
7,Specialty Chemicals,112,"5,77,589.78",53.98,87.90%,84%,75.50%,85.80%,71%,41.80%,48.40%,77%
8,Textiles,242,"2,16,690.08",58.19,91.40%,91.70%,91%,91.20%,79.10%,61.80%,42.20%,89.70%
9,Exploration & Production,9,"4,02,121.07",44.21,0%,1.10%,0.70%,1.70%,1.70%,96.10%,83.10%,77.20%
10,Heavy Electrical Equipment,50,"10,95,165.01",65.51,99.50%,78%,97.40%,97.20%,94.30%,93.30%,29.80%,99.70%
11,Cement & Cement Products,42,"9,61,863.78",46.3,74.90%,32.80%,80.10%,40%,24.70%,22.70%,78.60%,97.70%
12,Commercial Vehicles,14,"3,59,224.89",43.48,80.60%,60%,93%,60%,12.90%,2.60%,100%,95.80%
13,Commodity Trading  & Distribution,190,"4,95,063.41",59.09,94.30%,96.50%,96.60%,96.90%,94.60%,88.20%,92.30%,96.80%
14,Marine Port & Services,11,"5,38,219.08",55.73,91.30%,98.50%,99.90%,92.80%,91.30%,74.50%,14.70%,100%
15,Power - Electric Utilities,49,"17,66,353.93",57.2,60.10%,40.60%,66.10%,46.70%,95.30%,94.30%,83.70%,98%
16,Packaged Foods,59,"5,32,851.97",46.89,69.90%,66.40%,98.60%,68.40%,58.80%,57%,94.60%,95.40%
17,Other Industrial Goods,19,"21,772.69",55.33,52.20%,50.40%,54.30%,54.40%,93.30%,87.30%,45.90%,96.80%
18,Hotels,65,"2,66,055.8",48.53,97.40%,95.50%,98.20%,97.60%,51.90%,10.10%,97.50%,98.70%
19,Oil Marketing & Distribution,15,"3,15,646.41",52.64,99.90%,86.30%,99.20%,99.90%,27.20%,13.50%,84.80%,99.30%
20,Petrochemicals,12,"26,628.78",60.57,94.70%,96%,97.80%,92.30%,91.30%,86.80%,96.20%,72%
21,Other Agricultural Products,58,"62,682.03",47.07,40.40%,62.30%,67.20%,48.80%,34%,42.50%,93%,90.60%
22,Castings & Forgings,24,"1,84,663.1",64.4,96.10%,96%,96.90%,95.60%,96.50%,96.40%,98.50%,99.70%
23,Jute & Jute Products,4,"1,928.98",58.46,65.70%,100%,81.10%,65.70%,100%,93.60%,74.80%,100%
24,Realty,164,"7,16,134.64",51.78,89.70%,68.20%,90.50%,89.20%,34.80%,23.40%,82.10%,95.10%
25,Telecom Cables,6,"70,115.21",74.38,94.20%,99.90%,94.30%,99.90%,94.20%,94.20%,99.10%,94.30%
26,Paints,8,"3,64,254.34",53.51,94.60%,97.90%,94.60%,99.30%,94.40%,71.40%,6.70%,23.20%
