industry,symbol
Telecom Cables,UNIVCABLES
Telecom Cables,PARACABLES
Wires & Cables,POLYCAB
Wires & Cables,KEI
Wires & Cables,RRKABEL
Wires & Cables,HAVELLS
Heavy Electrical Equipment,BHEL
Heavy Electrical Equipment,SIEMENS
Heavy Electrical Equipment,ABB
Heavy Electrical Equipment,CGPOWER
Other Electrical Equipment/Products,THERMAX
Other Electrical Equipment/Products,TRIVENI
Other Electrical Equipment/Products,VOLTAMP
Power - Electric Utilities,NTPC
Power - Electric Utilities,POWERGRID
Power - Electric Utilities,TATAPOWER
Power - Electric Utilities,JSWENERGY
Industrial Machinery,LMW
Industrial Machinery,ELGIEQUIP
Industrial Machinery,TIMKEN
Industrial Machinery,SKFINDIA
Compressors & Pumps,KIRLOSENG
Compressors & Pumps,KSB
Compressors & Pumps,ELGIEQUIP
Compressors & Pumps,KIRLOSBROS
Castings & Forgings,BHARATFORG
Castings & Forgings,RAMKRISHNA
Castings & Forgings,MMFL
Other Industrial Products,AIAENG
Other Industrial Products,GRINDWELL
Other Industrial Products,CARBORUNIV
Aluminium and Aluminium Products,HINDALCO
Aluminium and Aluminium Products,NATIONALUM
Copper,HINDCOPPER
Copper,VEDL
Iron & Steel Products,TATASTEEL
Iron & Steel Products,JSWSTEEL
Iron & Steel Products,SAIL
Iron & Steel Products,JINDALSTEL
Computer Hardware,HCLTECH
Computer Hardware,DIXON
Computer Hardware,AMBER
Electronic Components,DIXON
Electronic Components,AMBER
Electronic Components,KAYNES
Electronic Components,SYRMA
Shipping,GESHIP
Shipping,SCI
Shipping,COCHINSHIP
Green & Renewable Energy,SUZLON
Green & Renewable Energy,INOXWIND
Green & Renewable Energy,JSWENERGY
Capital Markets,BSE
Capital Markets,ANGELONE
Capital Markets,MCX
Capital Markets,CDSL
Asset Management Cos.,HDFCAMC
Asset Management Cos.,NAM-INDIA
Asset Management Cos.,UTIAMC
Household Products,GODREJCP
Household Products,JYOTHYLAB
Fibres & Plastics,SUPREMEIND
Fibres & Plastics,FINPIPE
Commodity Trading  & Distribution,ADANIENT
Commodity Trading  & Distribution,REDINGTON
Other Industrial Goods,CUMMINSIND
Other Industrial Goods,INGERRAND
Containers & Packaging,EPL
Containers & Packaging,TIMETECHNO
Containers & Packaging,UFLEX
Aerospace & Defence,HAL
Aerospace & Defence,BEL
Aerospace & Defence,BDL
Aerospace & Defence,MAZDOCK
Aerospace & Defence,SOLARINDS
Aerospace & Defence,BEML
Jute & Jute Products,CHEVIOT
Jute & Jute Products,GLOSTER
