S.No,Name,Day Change %,Sector,No. of Companies,Advances,Declines,Advances/ Declines Ratio,Industry Score,Week Change %,Month Change %,Qtr Change %,Half Yr Change %,1Yr Change %,3Yr Change %,5Yr Change %,10Yr Change %,PE TTM,PE to Growth TTM,Price to Book TTM,Revenue growth Qtr YoY%,Net Profit growth Qtr YoY%,Revenue growth Qtr QoQ%,Net Profit growth Qtr QoQ%,Return on Equity Annual,ROA Annual,Dividend yield
1,Waste Management,4.69,Utilities,7,6,1,6,38.96,18.05,11.66,25.02,-10.64,-29.14,95.21,148.5,207.34,26.02,63.93,2.75,-11.51,-55.01,12.29,138.72,10.6,6.93,0.15
2,Compressors & Pumps,4.57,General & Industrial Manufacturing,11,10,1,10,54.81,14.28,17.93,39.11,32.99,16.41,141.51,286.39,761.38,45.72,12.28,10.21,15.56,2.08,12.47,14.04,21.38,13.48,0.57
3,IT Training Services,3.46,Software & Services,7,4,3,1.3333,49.06,10.11,23.98,66.08,24.92,1.67,42.19,40.82,82.47,22.15,0.37,2.52,6.27,-81.13,-4.01,-79.04,8.83,5.05,0.81
4,Computer Hardware,2.68,Hardware Technology & Equipment,17,13,4,3.25,54.06,14.25,11.11,27.28,38.93,71.89,"1,282.26","1,279.20","1,229.62",38.87,15.02,6.13,17.34,-71.16,33.55,-2.92,15.08,9.46,0.19
5,Refineries/Petro-Products,2.08,Oil & Gas,10,7,3,2.3333,56.36,3.36,0.01,-3.17,-13.57,-6.73,16.36,32.54,425.66,19.88,1.2,1.89,8.49,7.69,5.39,-6.14,10.98,4.45,1.45
6,Other Leisure Facilities,1.86,Diversified Consumer Services,4,2,2,1,43.22,4.26,1.02,8.98,-6.78,-27.04,-26.38,190.75,-4.44,31.08,1.08,1.67,3.13,-85.79,1.08,14.22,3.12,2.82,0.67
7,Special Consumer Services,1.78,Diversified Consumer Services,15,9,6,1.5,40.51,4.78,8.94,20.5,1.27,10.77,13.14,15.87,15.86,26.39,1.66,12.74,30.26,"-2,656.66",8.13,-224.86,15.11,1.52,0.01
8,Advertising & Media,1.76,Media,17,12,5,2.4,45.16,1.62,-4.48,16.99,2.52,-7.61,18.21,46.5,309.48,21.88,1.57,7,17.38,21.17,-0.47,14.42,13.39,7.23,0.21
9,Shipping,1.73,Transportation,12,9,3,3,60.28,4.76,-2.33,17.13,44.31,218.5,"16,973.70","6,010.10",831.05,16.75,0.9,29.07,31.32,127.85,9.84,24.05,16.11,12.25,1.82
10,IT Software Products,1.7,Software & Services,37,29,8,3.625,45.1,3.59,12.55,33.41,0.88,9.5,59.54,143.52,196.3,45.6,4.11,5.21,28.79,16.17,11.99,144.06,11.84,6.7,0.83
11,Hotels,1.63,Hotels Restaurants & Tourism,61,39,22,1.7727,54.94,9.21,9.87,32.72,13.73,10.3,87.06,252.86,247.61,42.01,3.9,6.12,9.76,54.97,1.3,30.41,17.71,11.32,0.29
